all_rounder,match_id,home_team,opposition_team,venue,bat_inning,batsman_runs,balls,strike_rate,total_batting_points,bat_fp,total_points,batting_avg_inning_points,batting_avg_venue_points,batting_avg_oppo_points,avg_strike_rate,avg_batsman_runs,bowl_inning,total_bowler_runs,maiden,economy,overs,wickets,bowling_fp,bowl_fp_avg,bowl_opp_avg,bowl_ven_avg,bowl_inn_avg,bowl_run_avg,eco_avg,maiden_avg,wicket_avg,bowl_over_avg,rating
M Manhas,191,Pune Warriors,Delhi Daredevils,Dr DY Patil Sports Academy,1,20,20,100,14,0,14,15.6666666666667,14,14,95.390310305854,17.5882352941177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,195,Pune Warriors,Mumbai Indians,Wankhede Stadium,1,0,1,0,-2,0,-2,13.1428571428571,-2,-0.5,90.0908486221954,16.6111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
M Manhas,203,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,20,24,83.3333333333333,17,0,17,12.0833333333333,18,14.25,89.7351899227816,16.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
M Manhas,205,Pune Warriors,Chennai Super Kings,Dr DY Patil Sports Academy,1,0,4,0,-2,0,-2,11.25,10,11,85.2484304266425,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
M Manhas,208,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,3,5,60,3,0,3,11.3846153846154,3,7,84.04612421585,15.3333333333333,1,9,0,9,1,0,0,6,0,0,3,11.5,6.83333333333333,0,0,2,8
M Manhas,213,Pune Warriors,Rajasthan Royals,Sawai Mansingh Stadium,1,24,20,120,18,0,18,12,18,14,85.6803912969477,15.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,218,Pune Warriors,Mumbai Indians,Dr DY Patil Sports Academy,2,0,1,0,-2,0,-2,10.4285714285714,7.6,-1,81.9551568927326,15.0434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
M Manhas,236,Pune Warriors,Deccan Chargers,Dr DY Patil Sports Academy,1,0,1,0,-2,0,-2,10.6,6,5.75,78.5403586888688,14.4166666666667,2,19,0,6.33333333333333,3,0,2,3,2,4,2,14,6.66666666666667,0,0,2.33333333333333,9
M Manhas,262,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",1,31,29,106.896551724138,23,0,23,11.7272727272727,26,23.2,79.6746064102795,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,269,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,6,4,150,3,0,3,11,3,6,82.3794292406534,14.7307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
M Manhas,281,Pune Warriors,Deccan Chargers,Subrata Roy Sahara Stadium,2,22,15,146.666666666667,18,0,18,10.9333333333333,18,8.2,84.7604380342094,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5
