wicket_keeper_batsman,match_id,role,home_team,opposition_team,venue,inning,batsman_runs,sixes,fours,half_century,century,zeros,balls,strike_rate,rating,catch,Direct_runout,Indirect_runout,Stumping,thirty_run_bonus,half_cen_points,cent_points,zero_points,batting_run_points,batting_strike_points,total_batting_points,fp_points,total_points,avg_oppo_points,avg_venue_points,avg_inning_points,avg_batsman_runs,avg_strike_rate,avg_home_team_points,bound_runs,avg_bound_runs,avg_total_points,avg_balls
KK Nair,758,Batsman,Kings XI Punjab,Delhi Capitals,Dubai International Cricket Stadium,2,1,0,0,0,0,0,3,33.3333333333333,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,15.3333333333333,22.890625,110.942355572129,18.0714285714286,0,13.53125,16.59375,18.171875
KK Nair,763,Batsman,Kings XI Punjab,Royal Challengers Bangalore,Dubai International Cricket Stadium,1,15,0,2,0,0,0,8,187.5,9.5,0,0,0,0,0,0,0,0,9,0,9,0,9,14.3636363636364,5,17.65625,22.7692307692308,112.120165486404,17.4666666666667,8,13.4461538461538,16.4769230769231,18.0153846153846
KK Nair,769,Batsman,Kings XI Punjab,Mumbai Indians,Sheikh Zayed Stadium,2,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,10.5454545454545,1.66666666666667,14.8235294117647,22.4242424242424,110.421375100247,16.25,0,13.2424242424242,16.1969696969697,17.7878787878788
KL Rahul,343,Batsman,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2,12,0,2,0,0,0,12,100,8.5,0,0,0,0,0,0,0,0,6,0,6,0,6,6,6,6,12,100,6,8,8,6,12
KL Rahul,385,Batsman,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,1,8,0,2,0,0,0,4,200,9.5,0,0,0,0,0,0,0,0,2,0,2,0,2,2,4,2,10,150,4,8,8,4,8
KL Rahul,402,Batsman,Sunrisers Hyderabad,Rajasthan Royals,Sheikh Zayed Stadium,1,20,1,1,0,0,0,19,105.263157894737,8.5,1,0,0,0,0,0,0,0,14,0,14,0,14,14,14,8,13.3333333333333,135.087719298246,14,10,8.66666666666667,7.33333333333333,11.6666666666667
KL Rahul,407,Batsman,Sunrisers Hyderabad,Kings XI Punjab,Sharjah Cricket Stadium,2,27,1,1,0,0,0,28,96.4285714285714,8.5,0,0,0,0,0,0,0,0,21,0,21,0,21,11.5,21,13.5,16.75,125.422932330827,17.5,10,9,10.75,15.75
KL Rahul,415,Batsman,Sunrisers Hyderabad,Chennai Super Kings,Sharjah Cricket Stadium,1,25,1,1,0,0,0,27,92.5925925925926,8.5,1,0,0,0,0,0,0,0,19,0,19,0,19,19,20,11.6666666666667,18.4,118.85686438318,18,10,9.2,12.4,18
KL Rahul,418,Batsman,Sunrisers Hyderabad,Mumbai Indians,Dubai International Cricket Stadium,1,46,0,3,0,0,0,40,115,10,0,0,0,0,4,0,0,0,41,0,41,0,41,41,41,19,23,118.21405365265,23.75,12,9.66666666666667,17.1666666666667,21.6666666666667
KL Rahul,422,Batsman,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,6,0,1,0,0,0,6,100,8.5,0,0,0,0,0,0,0,0,3,0,3,0,3,3,3.66666666666667,15.8,20.5714285714286,115.612045987986,19.6,4,8.85714285714286,15.1428571428571,19.4285714285714
KL Rahul,428,Batsman,Sunrisers Hyderabad,Rajasthan Royals,"Sardar Patel Stadium, Motera",1,18,0,2,0,0,0,18,100,8.5,0,0,0,0,0,0,0,0,12,0,12,0,12,13,12,15.1666666666667,20.25,113.660540239488,18.3333333333333,8,8.75,14.75,19.25
KL Rahul,434,Batsman,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",1,10,0,1,0,0,0,13,76.9230769230769,8.5,0,0,0,0,0,0,0,0,7,0,7,0,7,24,7,14,19.1111111111111,109.578599870998,16.7142857142857,4,8.22222222222222,13.8888888888889,18.5555555555556
KL Rahul,440,Batsman,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",1,14,0,2,0,0,0,15,93.3333333333333,8.5,0,0,0,0,0,0,0,0,8,0,8,0,8,8,7.5,13.25,18.6,107.954073217231,15.625,8,8.2,13.3,18.2
KL Rahul,464,Batsman,Sunrisers Hyderabad,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,0,0,0,0,0,1,3,0,8,0,0,0,0,0,0,0,-2,-2,0,-2,0,-2,3,-2,11.5555555555556,16.9090909090909,98.1400665611192,13.6666666666667,0,7.45454545454545,11.9090909090909,16.8181818181818
KL Rahul,472,Batsman,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2,5,0,1,0,0,0,8,62.5,8.5,0,0,0,0,0,0,0,0,2,0,2,0,2,10.5,2,9.66666666666667,15.9166666666667,95.1700610143593,12.5,4,7.16666666666667,11.0833333333333,16.0833333333333
KL Rahul,475,Batsman,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,44,1,4,0,0,0,32,137.5,10,0,0,0,0,4,0,0,0,33,2,35,0,35,19,11.5,16,18.0769230769231,98.4262101671009,14.5454545454545,22,8.30769230769231,12.9230769230769,17.3076923076923
KL Rahul,478,Batsman,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,2,0,0,0,0,0,5,40,8,0,0,0,0,0,0,0,0,2,0,2,0,2,9.33333333333333,0,10.6,16.9285714285714,94.2529094408794,13.5,0,7.71428571428571,12.1428571428571,16.4285714285714
KL Rahul,480,Batsman,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,24,2,0,0,0,0,21,114.285714285714,9,0,0,0,0,0,0,0,0,18,0,18,0,18,12,6,16.4,17.4,95.5884297638684,13.8461538461538,12,8,12.5333333333333,16.7333333333333
KL Rahul,481,Batsman,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,2,25,1,0,0,0,0,28,89.2857142857143,8.5,0,0,0,0,0,0,0,0,22,0,22,0,22,23.3333333333333,22,17.3333333333333,17.875,95.1945100464837,14.4285714285714,6,7.875,13.125,17.4375
KL Rahul,505,Batsman,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",1,17,1,1,0,0,0,10,170,9,1,0,0,0,0,0,0,0,11,4,15,0,15,12.6666666666667,10,11,17.8235294117647,99.5948329849258,14.4666666666667,10,8,13.2352941176471,17
KL Rahul,513,Batsman,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",1,25,0,2,0,0,0,26,96.1538461538462,8.5,0,0,0,0,0,0,0,0,19,0,19,0,19,22.25,12.25,11.6666666666667,18.2222222222222,99.4036670498659,14.75,8,8,13.5555555555556,17.5
KL Rahul,531,Batsman,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,1,23,2,2,0,0,0,14,164.285714285714,9,0,0,0,0,0,0,0,0,11,4,15,0,15,20.8,18.5,11.9230769230769,18.4736842105263,102.818511641226,7.66666666666667,20,8.63157894736842,13.6315789473684,17.3157894736842
KL Rahul,533,Batsman,Royal Challengers Bangalore,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,1,7,0,1,0,0,0,10,70,8.5,0,0,0,0,0,0,0,0,4,-2,2,0,2,2,2,11.2142857142857,17.9,101.177586059165,6.25,4,8.4,13.05,16.95
KL Rahul,536,Batsman,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium,1,51,3,4,1,0,0,36,141.666666666667,10,1,0,0,0,0,8,0,0,38,2,40,0,40,40,40,13.1333333333333,19.4761904761905,103.105637516665,13,34,9.61904761904762,14.3333333333333,17.8571428571429
KL Rahul,544,Batsman,Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2,51,1,6,1,0,0,29,175.862068965517,10,1,0,1,0,0,8,0,0,38,6,44,0,44,44,18.6,21.1428571428571,20.9090909090909,106.412748037067,18.1666666666667,30,10.5454545454545,15.6818181818182,18.3636363636364
KL Rahul,547,Batsman,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,1,52,2,6,1,0,0,33,157.575757575758,10,0,0,0,0,0,8,0,0,36,4,40,0,40,15.3333333333333,17.2,14.8125,22.2608695652174,108.637226712663,21.2857142857143,36,11.6521739130435,16.7391304347826,19
KL Rahul,552,Batsman,Royal Challengers Bangalore,Rising Pune Supergiants,M Chinnaswamy Stadium,2,38,2,1,0,0,0,35,108.571428571429,9,1,0,0,1,4,0,0,0,33,0,33,0,33,17.5,19.8333333333333,22.625,22.9166666666667,108.634485123445,22.75,16,11.8333333333333,17.4166666666667,19.6666666666667
KL Rahul,556,Batsman,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,42,1,6,0,0,0,26,161.538461538462,9,0,0,0,0,4,0,0,0,25,4,29,0,29,16.75,29,15.6470588235294,23.68,110.750644180045,23.4444444444444,30,12.56,17.88,19.92
KL Rahul,558,Batsman,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,1,68,4,3,1,0,0,54,125.925925925926,10,0,0,0,0,0,8,0,0,55,0,55,0,55,26.5,24.8571428571429,17.8333333333333,25.3846153846154,111.334308862579,26.6,36,13.4615384615385,19.3076923076923,21.2307692307692
KL Rahul,567,Batsman,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,1,16,0,3,0,0,0,7,228.571428571429,9.5,0,0,0,0,0,0,0,0,7,0,7,0,7,14.8,22.625,17.2631578947368,25.037037037037,115.676424407351,24.8181818181818,12,13.4074074074074,18.8518518518519,20.7037037037037
